Lobbying Firm,Client Prefix,Client First Name,Client Middle,Client Last Name,Client Suffix,Report Quarter,Report Year,Project,Reference Number,Reference Number Type,Project Location,City Agencies Lobbied,Lobbying Firm Quarterly Report
"Planning Associates, Inc.",,,,Selan Family Trust,,1,2013,Site Plan Review for an Assisted Living/Memory Care Facility,ENV-2012-3544-EAF; ZA-2012-3545-ELD-SPR,APC,17545 Parthenia Street,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"SSBG, LLC",,1,2013,Zone Variance Plan Approval for a LED pole sign in addition to a previously approved illuminated mon,ENV-2009-2531-MND-REC1; ZA-2013-386-ZV-ZAA,APC,9946 Beachy Avenue,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Weddington Golf and Tennis, LLC",,1,2013,"a Zone Change, a Site Plan Review, a Conditional Use Permit, a Revocable Permit and",ENV-2001-1196-EIR,APC,4141 Whitsett Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Weddington Golf and Tennis, LLC",,1,2013,maintain the golf and tennis facility,ENV-2001-1196-EIR,APC,4141 Whitsett Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Weddington Golf and Tennis, LLC",,1,2013,"Preparation and processing of an Environmental Impact Report, a General Plan Amendment,",ENV-2001-1196-EIR,APC,4141 Whitsett Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Weddington Golf and Tennis, LLC",,1,2013,Vesting Tentative Tract Map to permit a Senior Citizen Retirement Community and,ENV-2001-1196-EIR,APC,4141 Whitsett Avenue,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,"Wilshire Gayley, LLC",,1,2013,Vacation of the 20 foot wide east-west alley,VAC-E1401186,APC,"northerly of Wilshire Blvd., between Gayley Ave. and 110 feet westerly of Gayley Ave.","City Council (incl. Districts and Committees) | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
"Planning Associates, Inc.",,,,Kaiser Permanente,,1,2013,Conditional Use Permit for development of Phase 1 of Outpatient Master Plan & new South Hospital Sup,CPC-2001-3946-CU-SPR- YV-ZAA-PA1; DIR-2011-2558-SPR; ENV-2011-2559-EAF; ENV-2011-2559-MND-REC1,APC,13652 West Cantara Street,"City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering | Public Works, Street Lighting | Transportation (LADOT, DOT) | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15114
Marathon Communications Inc,,,,Burbank-Glendale-Pasadena Airport Authority,,1,2013,Establishment of a Regional Intermodal Transit Center,,,Bob Hope Airport,"Mayor, Office of | City Attorney, Office of | City Council (incl. Districts and Committees) | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15134
McDermott Consulting Inc.,,,,"Marathon Communications, Inc. on behalf of Bob Hope Airport ",,1,2013,6th Street Bridge,,,Downtown LA,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15143
McDermott Consulting Inc.,,,,"Marathon Communications, Inc. on behalf of Bob Hope Airport ",,1,2013,Intregovernmental Relations Bob Hope Airport concerning adjacent council districts,,,,,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15143
Sugerman Communications Group,,,,Archer School for Girls,,1,2013,Master Plan,,,,City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15152
Sugerman Communications Group,,,,"Capri Urban Baldwin, LLC; Capri Urban Crenshaw, LLC",,1,2013,Baldwin Hills Crenshaw Plaza Redevelopment Project,,,,City Council (incl. Districts and Committees) | Neighborhood Councils,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15152
"Rosenheim & Associates, Inc.",,,,A Community of Friends,,1,2013,Beverly Commonwealth Apartments (RAA No. 12-797),,,"3314-3330 West Beverly Boulevad, Rampart Village","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"Agora Realty & Management, Inc.",,1,2013,"Mason & Devonshire, Northridge (RAA NO. 12-784",,,"10364 and 10366 Mason Avenue, Chatsworth","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
Gresham Savage Nolan & Tilden,,,,Wal-Mart Real Estate Business Trust ,,1,2013,Zoning variances and other land use approvals,,,,"Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15157
Seymour Consulting Group,,,,Soho House,,1,2013,One Night Special Event Permit,,,Location not yet determined,"Building and Safety | Fire (LAFD) | Planning, City | Police (LAPD) | Public Works, Street Services | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15056
Douglas LLC,,,,Bridge Housing Corporation,,1,2013,Sage Park,,,"1302 W. 177th, Los Angeles, CA ","Building and Safety | Fire (LAFD) | Planning, City | Police (LAPD) | Public Works, Engineering | Public Works, Sanitation | Public Works, Street Services | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15170
"Rosenheim & Associates, Inc.",,,,Avalon Bay Communities Inc,,1,2013,Block 8 Matsu A & B - Conditional Use/Master Alcohol Permit (RAA No. 12-771) ,,," Block 8, Parcels A & B, Little Tokyo","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Brentwood Capital Partners,,1,2013,"Sherman Place, West Hills (RAA No. 12-789) ",,," 23101 Sherman Place, West Hills",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Chabad of West Hills,,1,2013,"Hartland Drive, West Hills (RAA No. 12-790) ",,," 24384 Hartland Drive, West Hills","City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"Chavez Realty Development, LLC",,1,2013,Stadium Way (RAA No. 08-454),,,"Stadium Way / Chavez Ravine, Central City North","City Council (incl. Districts and Committees) | Building and Safety | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,El Cortez Motel,,1,2013,"Sepulveda Boulevard & Halbrent Avenue, Van Nuys (RAA No. 13-808)",,,"5746-5750 Sepulveda Blvd., 5747-5751 Avenue, Van Nuys","Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"Emser, LLC",,1,2013,"Canoga Ave., Warner Center (RAA No. 11-721) ",,," 6464 Canoga Avenue, Warner Center","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"En Pointe Investments, LLC",,1,2013,"Ventura Blvd., Studio City (RAA No. 13-814)",,,"11345 Ventura Blvd., Studio City","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,EnGage Mediation,,1,2013,Prairie Street - Northridge,12-781,APC,"19555 West Prairie Street, Northridge","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Equinox Fitness,,1,2013,"Ventura Blvd., Encino Entitlements (RAA No. 11-684) ",,," 16830 Ventura Boulevard, Encino",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Equinox Fitness,,1,2013," Larchmont, Wilshire (RAA No. 12-759) ",,," 147 Larchmont Boulevard, Wilshire","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Equinox Fitness,,1,2013,Police Commission Clearances (RAA No. 13-822) ,,, Various Locations,"Building and Safety | Planning, City | Police (LAPD)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"GK Ventures, LLC",,1,2013,"Ventura Blvd., Woodland Hills (RAA No. 12-803) ",,," 22737 Ventura Boulevard, Woodland Hills","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"Hollywood Tow Service, Inc.",,1,2013,"Romaine Ave., Hollywood (RAA No. 12-778)",,,"7130-7136 Romaine Avenue, Hollywood","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Holy Martyrs Armenian Elementary & Ferrahian High School,,1,2013,"Parthenia St., North Hills (RAA No. 10-612) ",,," 16617 Parthenia Street, North Hills","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Iglesia de Cristo Emanuel Llamada Final,,1,2013,"Kester Ave., Van Nuys (RAA No. 13-811) ",,," 7735 Kester Avenue, Van Nuys","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,Juliana,,Maio,,1,2013,"Gilcrest Dr., Los Angeles (RAA No. 12-733) ",,," 1500 Gilcrest Dr., Los Angeles","City Council (incl. Districts and Committees) | Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Keyes Motors Inc,,1,2013,Chevrolet - Oxnard & Van Nuys (RAA No. 11-700) ,,, Oxnard Street and Van Nuys Blvd.,"City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Jewish Home for the Aging,,1,2013,"Tampa & Sherman Way, Reseda (RAA No. 12-739) ",,," 7143 and 7150 Tampa Avenue, 19300 Sherman Way, Reseda","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,"MREC Pinecrest, LLC",,1,2013,"Sherman Way, Van Nuys (RAA No. 12-799) ",,," 14111-14135 Sherman Way, Van Nuys",City Council (incl. Districts and Committees) | Recreation & Parks,http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",Mr.,Nathan,,Fischel,,1,2013,"Beverly Glen Blvd., Los Angeles (RAA No. 13-806) ",,," 550 South Beverly Glen Boulevard, Los Angeles","Building and Safety | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Pacifica Montessori School,,1,2013,Grand View Blvd. - Mar Vista (RAA No. 13-816) ,,," 3590 South Grand View Boulevard, Mar Vista","Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",Mr.,Richard,,Coulter,,1,2013,Nordhoff Street - Chatsworth (RAA No. 12-750),,,"20431-20439 Nordhoff Street, Chatsworth","City Council (incl. Districts and Committees) | Neighborhood Councils | Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Shubin-Nadal Realty Investors,,1,2013,"Tyrone Ave, Hazeltine Ave - Van Nuys (RAA No. 12-749) ",,," 7600-7612 Tyrone Avenue, 7639-7641 Hazeltine Avenue, Van Nuys","City Council (incl. Districts and Committees) | Building and Safety | Fire (LAFD) | Planning, City | Public Works, Engineering",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Somerset Group,,1,2013,Wilshire Blvd. & Coronado St. (RAA No. 05-245) ,,," Wilshire Blvd. & Coronado St., Los Angeles","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Warner Center Association,,1,2013,Warner Center (RAA No. 00-10) ,,, Warner Center,"Planning, City | Transportation (LADOT, DOT)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,West Valley Eruv Society,,1,2013,West Valley Eruv (RAA No. 12-744) ,,, West Valley,"City Council (incl. Districts and Committees) | Public Works, Street Lighting | Recreation & Parks | Water & Power (DWP)",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Rosenheim & Associates, Inc.",,,,Yeshiva Ketana of Los Angeles,,1,2013,"Burbank Blvd., Vantage Ave. - Valley Village (RAA No. 12-796) ",,," 12131 West Burbank Boulevard, 5621 North Vantage Avenue, Valley Village","City Council (incl. Districts and Committees) | Planning, City",http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15019
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,1,2013,Mixed Use Project,13-0489,APC,12th & Grand,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,1,2013,Mixed Use Project,13-0761,APC,1501 Wilshire Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,"Astani Enterprises, Inc.",,1,2013,Mixed Use Project ,2012-3534,APC,5550 Hollywood Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,American Communities,,1,2013,Affordable Housing Project,12-1915,APC,1907 W. 6th Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Anastasi Development Company,,1,2013,Proposed Residential Project,,,Washington & Oak,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,"Carmel Partners, Inc.",,1,2013,Mixed Use Project,12-0444,APC,8th & Grand,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Chrysler Group Realty Company LLC,,1,2013,Chrysler Dealership/Street Vacation,07-3313,APC,2025 South Figueroa,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Chrysler Group Realty Company LLC,,1,2013,Chrysler Dealership,,,6110 Van Nuys Blvd.,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,City Market of Los Angeles,,1,2013,Mixed Use Project/Master Plan,2013-4050,APC,11th & San Pedro,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Clear Channel Outdoor,,1,2013,Digital Signage,12-1611,APC,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Delson Investment Company,,1,2013,Parking Structure,,,1159 W. Huntley Drive,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Holland Residential,,1,2013,Mixed Use Projects,07-3825,APC,"6th & Bixel, 1111 Wilshire",City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,"LaeRoc Partners, Inc.",,1,2013,El Pueblo Visioning Plan,07-3859,APC,Olvera Street,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
"Urban Solutions, LLC",,,,Los Angeles Chinatown Business Council,,1,2013,General Government Affairs re: Chinatown,,,,City Council (incl. Districts and Committees),http://ethics.lacity.org/disclosure/index.cfm?fuseaction=home.view&LOB_QTR_RPT_ID=15171
