TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200500A,446130,Optical goods stores,178,$115965089.00
200800A,561790,Other services to buildings & dwellings,1111,$31611561.00
201200A,561410,Document preparation services,185,$14388088.00
201100A,524290,Other insurance related activities,173,$74355024.00
201100A,517000,Telecommunications,189,$1249327863.00
201100A,812190,Other personal care services (including diet & weight reducing centers),734,$34347618.27
200900A,621400,Outpatient  care centers,324,$183508989.00
201300A,315000,Apparel mfg.,5617,$1504008547.81
201200A,423600,Electrical & electronic goods,1202,$1841389050.00
201200A,233320,Commercial and Institutional Building Construction (1997 NAICS),617,$943569161.42
201100A,541340,Drafting services,147,$2923451.00
201200A,424500,Farm product raw materials,50,$95836129.00
200600A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",1927,$233894314.66
200500A,448130,Children's & infants' clothing stores,108,$21950219.00
200500A,453310,Used merchandise stores,283,$32220190.51
200900A,443111,Household appliance stores,334,$188764335.43
201200A,448320,Luggage & leather goods stores,124,$20652352.00
200700A,332000,Fabricated metal product mfg.,185,$284328372.00
200700A,424950,"Paint, varnish, & supplies",79,$144708107.00
200800A,424400,Grocery & related products,1313,$5442176664.22
201400A,423930,Recyclable materials,364,$289757096.00
200600A,441110,New car dealers,365,$3941891598.00
200500A,424990,Other miscellaneous nondurable goods,2516,$1706166843.61
201000A,311400,Fruit & vegetable preserving & speciality food mfg.,181,$91627235.00
201100A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),924,$544798472.80
200600A,339110,Medical equipment & supplies mfg.,177,$95337231.04
201000A,512100,Motion picture & video industries (except video rental),6660,$11445844892.67
200800A,446190,Other health & personal care stores,309,$85524938.88
200800A,445230,Fruit & vegetable markets,491,$1269166429.00
200800A,423940,"Jewelry, watch, precious stone, & precious metals",2102,$1236729956.00
201300A,531100,Lessors of real estate (including mini warehouses & self-storage units),38154,$13533285766.61
201000A,446110,Pharmacies & drug stores,502,$3026913581.51
201400A,423100,Motor vehicle & motor vehicle parts & supplies,912,$1980877949.00
200800A,311800,Bakeries & tortilla mfg.,373,$95324007.00
201200A,811210,Electronic & precision equipment repair & maintenance,385,$42403903.74
201000A,441110,New car dealers,389,$2639404240.09
201200A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",124,$35076282.00
200900A,541100,Legal services,5877,$7724386762.81
200800A,721310,Rooming & boarding houses,286,$233396966.00
201000A,812113,Nail salons,2062,$69595207.40
200800A,541214,Payroll services,58,$6105492.00
200700A,423700,"Hardware, & plumbing & heating equipment  & supplies",156,$366184017.70
201100A,722300,Special food services (including food service contractors & caterers),1299,$170622806.00
200900A,541930,Translation & interpretation services,174,$9992333.00
201200A,311400,Fruit & vegetable preserving & speciality food mfg.,258,$123955421.00
201000A,451110,Sporting goods stores,314,$135244608.00
200900A,424940,Tobacco & tobacco products,235,$93160619.00
201300A,561210,Facilities support (management) services,214,$85659623.00
201100A,423990,Other miscellaneous durable goods,2146,$711503847.12
200600A,423500,Metal & mineral (except petroleum),258,$357525731.00
201200A,624310,Vocational rehabilitation services,76,$17644407.00
200700A,621399,Offices of all other miscellaneous health practitioners,2335,$653002118.00
201300A,454112,Electronic auctions,23,$1099302.00
201200A,235410,Masonry and Stone Contractors (1997 NAICS),79,$11927417.34
200500A,711300,"Promoters of performing arts, sports, & similar events",1399,$1203540692.77
201300A,453220,"Gift, novelty, & souvenir stores",1274,$183033210.48
201400A,448110,Men's clothing stores,416,$138695685.00
201300A,541330,Engineering services,1372,$523019221.99
200800A,454111,Electronic shopping,275,$32732336.00
200500A,541330,Engineering services,825,$349973770.64
200900A,233220,Multifamily Housing Construction (1997 NAICS),842,$1811134136.41
200800A,621610,Home health care services,1209,$161810115.00
201400A,541920,Photographic services,2714,$174922022.88
200800A,523900,Other financial investment activities (including investment advice),1463,$5414578220.52
201100A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",646,$1155718431.00
201400A,811210,Electronic & precision equipment repair & maintenance,403,$58936688.00
201200A,532310,General rental centers,75,$34463102.88
201200A,424600,Chemical & allied products,240,$1544396250.00
201100A,448110,Men's clothing stores,388,$89302372.00
201300A,513322,Cellular and Other Wireless Telecommunications,25,$982794519.00
200900A,518210,"Data processing, hosting, & related services",507,$348250506.00
201100A,233220,Multifamily Housing Construction (1997 NAICS),899,$996350853.88
200800A,541310,Architectural services,979,$588332800.00
201000A,234920,Power and Communication Transmission Line Construction (1997 NAICS),47,$25704692.00
201200A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3689,$1291841071.38
201100A,441300,"Automotive parts, accessories, & tire stores",791,$157464719.42
201100A,336000,Transportation equipment mfg.,81,$90460654.00
201100A,812112,Beauty salons,666,$16545505.00
201200A,423700,"Hardware, & plumbing & heating equipment  & supplies",210,$336887090.00
201100A,811420,Reupholstery & furniture repair,214,$16547308.00
200600A,561300,Employment services,6135,$1377146164.87
201300A,999999,Unclassified establishments (unable to classify),1918,$222455699.82
201300A,424930,"Flower, nursery stock, & florists' supplies",576,$199285600.31
201000A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",233,$1637512874.00
200900A,621330,Offices of mental health practitioners (except physicians),553,$35672932.58
200900A,445210,Meat markets,82,$34815361.00
200600A,234120,Bridge and Tunnel Construction (1997 NAICS),84,$32018200.00
200700A,443130,Camera & photographic supplies stores,97,$22471119.00
201300A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3906,$1382442486.75
201200A,331000,Primary metal mfg.,68,$15861134.00
200800A,812330,Linen & uniform supply,34,$103647571.00
201400A,541600,"Management, scientific, & technical consulting services",10883,$2154434365.38
201200A,312000,Beverage & tobacco product mfg.,31,$578082.00
201000A,452000,General merchandise stores,3894,$2344289581.87
200500A,562000,Waste management & remediation services,104,$104603209.00
201200A,541219,Other accounting services,3188,$937833263.44
201100A,321000,Wood product mfg.,153,$15456512.00
201100A,811430,Footwear & leather goods repair,163,$6026117.00
200500A,561500,Travel arrangement & reservation services,7081,$500371617.90
200700A,621340,"Offices of physical, occupational & speech therapists, & audiologists",368,$20608640.89
200800A,531100,Lessors of real estate (including mini warehouses & self-storage units),32826,$9772474075.50
201400A,235610,"Roofing, Siding, and Sheet Metal Contractors (1997 NAICS)",542,$152271900.00
200500A,812330,Linen & uniform supply,21,$76554875.00
200600A,621399,Offices of all other miscellaneous health practitioners,2226,$605367768.83
201400A,621111,Offices of physicians (except mental health specialists),5707,$3309137692.59
200600A,423920,Toy & hobby goods & supplies,174,$128229386.90
201400A,561300,Employment services,5391,$1609063011.89
201400A,424940,Tobacco & tobacco products,471,$136419680.00
201200A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),167,$297124437.00
200800A,523110,Investment bankers & securities dealers,60,$221194319.00
200700A,339900,Other miscellaneous mfg.,641,$148217042.00
201400A,812210,Funeral homes & funeral services,57,$19819009.00
201400A,516110,Internet publishing & broadcasting,948,$211057790.10
200500A,423100,Motor vehicle & motor vehicle parts & supplies,916,$1465072762.84
201100A,235510,Carpentry Contractors (1997 NAICS),518,$127249414.00
200900A,448320,Luggage & leather goods stores,83,$14228111.00
201000A,541930,Translation & interpretation services,210,$10860244.42
201300A,611000,"Educational services (including schools, colleges, & universities)",3595,$781697523.13
201100A,446120,"Cosmetics, beauty supplies, & perfume stores",923,$246446130.00
200700A,621610,Home health care services,909,$95120912.69
200700A,453920,Art dealers,337,$8052781.98
201000A,811410,Home & garden equipment & appliance repair & maintenance,265,$11848584.75
200700A,313000,Textile mills,42,$11329455.00
201000A,441300,"Automotive parts, accessories, & tire stores",673,$144788801.00
201400A,314000,Textile product mills,606,$369911513.21
201000A,812930,Parking lots & garages,1383,$427648736.00
201300A,235410,Masonry and Stone Contractors (1997 NAICS),89,$12030625.15
200900A,446190,Other health & personal care stores,403,$94046117.00
200800A,624410,Child day care services,1405,$109148947.99
200900A,311300,Sugar & confectionery product mfg.,63,$9066985.81
200700A,238110,Poured concrete foundation & structure contractors,149,$211680494.00
200800A,512100,Motion picture & video industries (except video rental),5129,$6192748649.31
200500A,531310,Real estate property managers,1004,$176013554.30
201400A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",88,$63478784.00
201000A,561600,Investigation & security services,756,$368183719.00
201300A,238340,Tile & terrazzo contractors,251,$46799129.00
201300A,424500,Farm product raw materials,52,$308276746.00
201400A,811420,Reupholstery & furniture repair,214,$28245857.00
200900A,813000,"Religious, grantmaking, civic, professional, & similar organizations",84,$2182523.00
200600A,423940,"Jewelry, watch, precious stone, & precious metals",1857,$1261253665.08
201400A,812111,Barber shops,2930,$106844658.50
201400A,423910,Sporting & recreational goods & supplies,295,$183446036.00
200600A,621210,Offices of dentists,52,$14374587.00
201100A,453210,Office supplies & stationery stores,299,$217068606.00
200800A,453220,"Gift, novelty, & souvenir stores",962,$161805549.84
201400A,445310,"Beer, wine & liquor stores",654,$220760916.82
201000A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),673,$171192802.00
201200A,324100,Petroleum & coal products mfg.,21,$130528407.00
201000A,237210,Land subdivision,286,$330057291.33
200800A,235210,Painting and Wall Covering Contractors (1997 NAICS),1850,$537104284.00
201400A,999999,Unclassified establishments (unable to classify),1886,$178663584.90
201000A,561500,Travel arrangement & reservation services,6776,$684000446.32
201400A,531390,Other activities related to real estate,1037,$253990240.56
201000A,624200,"Community food & housing, & emergency & other relief services",87,$1257538.00
201300A,424100,Paper & paper products,254,$262096396.00
200600A,423300,Lumber & other construction materials,289,$897438469.00
201400A,532290,Other consumer goods rental,3997,$1206173875.28
201300A,624200,"Community food & housing, & emergency & other relief services",111,$6521109.00
200500A,424600,Chemical & allied products,231,$641048216.65
201000A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,237,$105363588.00
201100A,445230,Fruit & vegetable markets,525,$1324159929.80
201400A,234120,Bridge and Tunnel Construction (1997 NAICS),97,$49684814.00
201100A,621210,Offices of dentists,272,$59038024.00
201400A,441300,"Automotive parts, accessories, & tire stores",1154,$258051014.66
201200A,721310,Rooming & boarding houses,321,$367409172.00
201200A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1036,$553316716.92
201100A,713200,Gambling industries,11,$20422244.00
201300A,561300,Employment services,5834,$1535135578.71
200900A,445310,"Beer, wine & liquor stores",506,$161014585.35
200800A,812190,Other personal care services (including diet & weight reducing centers),510,$27680760.00
201300A,326000,Plastics & rubber products mfg.,165,$66348325.01
201400A,443112,"Radio, television, & other electronics stores",872,$444598732.72
201000A,453910,Pet & pet supplies stores,131,$63568738.00
200500A,561430,Business service centers (including private mail centers & copy shops),231,$98216909.64
201300A,339900,Other miscellaneous mfg.,2214,$610911053.39
201300A,235920,Glass and Glazing Contractors (1997 NAICS),189,$42854653.00
201400A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,303,$187265088.00
200700A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2510,$1097451746.50
